,Public  Access Data -  2022,,,,,,
A23C1,"A23C1 [For the children who have insurance] Who pays, the farmworker pays? [MARK Al I THAT APPLY.]",,,,,,
A23C2,"A23C2 [For the children who have insurance] Who pays, the spouse? [MARK Al I THAT APPLY.]",,,,,,
A23C3,"A23C3 [For the children who have insurance] Who pays, the employer? [MARK Al I THAT APPLY.]",,,,,,
A23C4,"A23C4 [For the children who have insurance] Who pays, the spouse's employer? [MARK Al I THAT APPLY.]",,,,,,
A23C5,"A23C5 [For the children who have insurance] Who pays, the government? [MARK Al I THAT APPLY.]",,,,,,
A23C6,"A23C6 [For the children who have insurance] Who pays, other? [MARK Al I THAT APPLY.]",,,,,,
A24a,A24a  How many children under 18 years?,,,,,,
A24b,A24b  How many children over 18 years?,,,,,,
ABWEEKS,NUMBER OF WEEKS ABROAD IN LAST YEAR,,,,,,
ACCOMP,NUCLEAR FAMLY MEMBER LIVE IN HOUSEHOLD,,,,,,
ADULTOTHERINDG,HAS OTHER ADULT LANGUAGE INDIGENOUS,,,,,,
ADULTOTHERNOINDG,HAS OTHER ADULT LANGUAGE NOT INDIGENOUS,,,,,,
AGE,RESPONDENT AGE,,,,,,
AGE_ENT,AGE AT TIME OF ENTRY INTO US,,,,,,
AGEFRSTFW,AGE FIRST WORKED IN U.S. AGRICULTURE,,,,,,
ANYNMS,"ANYNMS During the last 12 months [from Oct. of last year until now (month of current year)], have you had pain or disconform ?",,,,,,
B01,B1 Which of the following describes you?,,,,,,
B02,B2 Which of the following do you consider yourself ? [READ CHOICES. MARK ONLY ONE],,,,,,
B03A ,B3A Have you attended English/ESL classes or school in the U.S.A.?,,,Variables Active again in FY 2021,,,
B03B ,B3B Have you attended Citizenship classes or school in the U.S.A.?,,,,,,
B03C ,B3C Have you attended Literacy classes or school in the U.S.A.?,,,,,,
B03D ,B3D Have you attended Job training classes or school in the U.S.A.?   List:,,,,,,
B03E ,"B3E Have you attended GED, High School Equivalency classes or school in the U.S.A.?",,,,,,
B03F ,B3F Have you attended College or University classes or school in the U.S.A.?,,,,,,
B03G ,B3G Have you attended Adult Basic Education classes or school in the U.S.A.?,,,,,,
B03Hx ,B3H Have you attended Even Start classes or school in the U.S.A.?,,,,,,
B03I ,B3I Have you attended Migrant Education classes or school in the U.S.A.?,,,,,,
B03J ,B3J Have you attended Other classes or school in the U.S.A.?   List:,,,,,,
B04A ,"B4A  Within the past 2 YEARS, has anyone in your household excluding yourself attended adult education classes such as English classes,  ESL, Adult basic education, or citizenship classes in the U.S.A.?",,,,,,
B04D ,"B4D Within the past 2 YEARS, has anyone in your household excluding yourself attended Job training classes or school in the U.S.A.?",,,,,,
B04F ,"B4F Within the past 2 YEARS, has anyone in your household excluding yourself attended GED, High School Equivalency classes or school in the U.S.A.?",,,,,,
B04J ,"B4J Within the past 2 YEARS, has anyone in your household excluding yourself attended Migrant Education classes or school in the U.S.A.?",,,,,,
B04K ,"B4K Within the past 2 YEARS, has anyone in your household excluding yourself attended Head Start classes or school in the U.S.A.?",,,,,,
B04L ,"B4L Within the past 2 YEARS, has anyone in your household excluding yourself attended Migrant Head Start classes or school in the U.S.A.?",,,,,,
B04N ,"B4N  Within the past 2 YEARS, has anyone in your household excluding yourself attended other classes or school in the U.S.A.?",,,,,,
B07,B7 How well do you speak English? [READ CHOICES. MARK ONLY ONE RESPONSE.],,,,,,
B08,B8 How well do you read English? [MARK ONLY ONE RESPONSE.],,,,,,
B10,B10 In what year did you first do any farmwork in the U.S.A.?,,,,,,
B11,B11 Approximately how many years have you done FARM WORK in the U.S.A.? [COUNT  ANY YEAR IN WHICH 15 DAYS OR MORE WERE WORKED.],,,,,,
B12,B12 Approximately how many years have you done NON-FARM WORK in the U.S.A? [COUNT ANY YEAR IN WHICH 15 DAYS OR MORE WERE WORKED.],,,,,,
B13,B13 When was the last time your parents did hired farm work in the U.S.A?,,,,,,
B14CODE,COUNTRY CONSIDERED PERMANENT RESIDENCE,,,,,,
B15CODE,B15CODE   REGION IN USA LIVED BEFORE ACTUAL STATE,,,,,,
B16,"B16 [IF FOREIGN BORN:] When you lived in your country (outside the U.S.A.), did you work in..? [READ EACH CHOICE. MARK ONE RESPONSE.]",,,,,,
B17,B17 [IF FOREIGN BORN:] In what country (outside of the U.S.A.) did you live before coming to the U.S.A?,,,,,,
B17CODE,COUNTRY LIVED BEFORE US IF FOREIGN BORN,,,,,,
B18,"B18 [IF FOREIGN BORN ] Before coming to the United States, in what state/department /province did you live?",,,,,,
B20a,"B20a When you were a child,in what languages did adults speak to you at home?  English",,,,,,
B20b,"B20b When you were a child,in what languages did adults speak to you at home?  Spanish",,,,,,
B20c,"B20c When you were a child,in what languages did adults speak to you at home?  Creole",,,,,,
B20d,"B20d When you were a child,in what languages did adults speak to you at home?  Mixtec",,,,,,
B20e,"B20e When you were a child,in what languages did adults speak to you at home?  Kanjobal",,,,,,
B20f,"B20f When you were a child,in what languages did adults speak to you at home?  Zapotec",,,,,,
B20z,"B20z When you were a child,in what languages did adults speak to you at home?  Other",,,,,,
B21a,"B21a And now,as an adult, what languages can you speak ?  English",,,,,,
B21b,"B21b And now,as an adult, what languages can you speak ?  Spanish",,,,,,
B21c,"B21c And now,as an adult, what languages can you speak ?  Creole",,,,,,
B21d,"B21d And now,as an adult, what languages can you speak ?  Mixtec",,,,,,
B21e,"B21e And now,as an adult, what languages can you speak ?  Kanjobal",,,,,,
B21f,"B21f And now,as an adult, what languages can you speak ?  Zapotec",,,,,,
B21z,"B21z And now,as an adult, what languages can you speak ?  Other",,,,,,
B22b,"B22b And now,how well do you speak it ?  Spanish",,,,,,
B22c,"B22c And now,how well do you speak it ?  Creole",,,,,,
B22d,"B22d And now,how well do you speak it ?  Mixtec",,,,,,
B22e,"B22e And now,how well do you speak it ?  Kanjobal",,,,,,
B22f,"B22f And now,how well do you speak it ?  Zapotec",,,,,,
B22z,"B22z And now,how well do you speak it ?  Other",,,,,,
B23b,"B23b And now,how well do you read it ?  Spanish",,,,,,
B23c,"B23c And now,how well do you read it ?  Creole",,,,,,
B23d,"B23d And now,how well do you read it ?  Mixtec",,,,,,
B23e,"B23e And now,how well do you read it ?  Kanjobal",,,,,,
B23f,"B23f And now,how well do you read it ?  Zapotec",,,,,,
B23z,"B23z And now,how well do you read it ?  Other",,,,,,
B24,B24 In which language do you believe you are most dominant (comfortable) conversing?,,,,,,
B26a,B26a Where was your father born? In what Country?,,,,,,
B26b,B26b Where was your father born? In what State (or Department or Equivalent) ?,,,,,,
B27a,B27a Where was your mother born? In what Country?,,,,,,
B27b,B27b Where was your mother born? In what State (or Department or Equivalent) ?,,,,,,
BIRTH_STATE,"STATE, PROVINCE OR DEPARTMENT OF BIRTH IF FOREIGN BORN",,,,,,
BLWAGE,BELOW MINIMUM WAGE,,,,,,
C09WEEKS,NUMBER OF WEEKS AT CURRENT JOB,,,,,,
C10,C10  Days worked per week (farm & non farm work) in current farm job,,,,,,
C12BORDER,C12BORDER Do you commute from Mexico to do farm work?,,,,,,
CHILDOTHERINDG,HAS OTHER CHILD LANGUAGE INDIGENOUS,,,,,,
CHILDOTHERNOINDG,HAS OTHER CHILD LANGUAGE NOT INDIGENOUS,,,,,,
CROP,CROP AT TIME OF INTERVIEW,,,,,,
CROWDED1,"HOUSEHOLD IS CROWDED, BASED ON THE U.S. CENSUS BUREAU DEFINITION THAT A HOUSING UNIT IN WHICH THE NUMBER OF PERSONS PER ROOM EXCEEDS ONE IS CONSIDERED CROWDED",,,,,,
CROWDED2,"HOUSEHOLD IS CROWDED, BASED ON THE U.S.  DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT GUIDELINE THAT THE RATIO OF PEOPLE TO BEDROOMS NOT EXCEED TWO.",,,,,,
CURRSTAT,CURRENT STATUS,,,,,,
D01,"D1  And in the previous year, (THE YEAR BEFORE THE ONE COVERED IN THE ""WORK GRID""  how many months did you do U.S.A. farm work? [1 DAY OR MORE PER MONTH EQUALS  1 MONTH]",,,,,,
D02,"D2 [IF NON-FARM JOB LISTED ON ""WORK"" GRID/CO6] For your most recent  non-farm employer, how many hours per week did you work on the average",,,,,,
D03,"D3 [IF NON FARM JOB LISTED IN C06:] For your most recent non-farm employer, how much were you paid per week on average?",,,,,,
D04,D4 CURRENT FARM JOB How many hours did you work last week at your current farm job?,,,,,,
D05,"D5 [D5 TO D8 IF HE/SHE HAS NOT  RECEIVED PAYMENT YET FOR CURRENT CROP/TASK,THEN ASK FOR ESTIMATES] Can you tell me the amount that your current employer paid you on your last day (cash or check) After taxes:",,,,,,
D06,D6 Can you tell me the amount that your current employer paid you on your last day (cash or check) Before taxes:,,,,,,
D07,D7 For what time period was that payment?,,,,,,
D08,D8 How many hours did you work during that period? [ONE DAY/ ONE WEEK/ TWO WEEKS/ ONE MONTH/ OTHER.) Hours,,,,,,
D11,D11 Are you paid?:,,,,,,
D12WG1,WAGE TASK 1 (PAID HOURLY),,,,,,
D12WG2,WAGE TASK 1 (PIECE RATE),,,,,,
D12WG3,WAGE TASK 2 (COMBO. HOURLY/PIECE),,,,,,
D12WG4,WAGE TASK 1 (SALARY),,,,,,
D13,"D13 [IF PAID BY THE PIECE] Are you paid as an individual or by the crew? [IF THE ANSWER IS ""CREW"", ASK QUESTIONS  D14 TO D18 CONSISTENTLY IN REFERENCE TO THE CREW.]",,,,,,
D20x,"D20 Aside from your wages, do you receive any other money bonus from the  grower or labor contractor?",,,,,,
D21Ax,D21A Is it a holiday bonus?,,,,,,
D21Bx,D21B Is it an incentive bonus?,,,,,,
D21Cx,D21C Is it a bonus dependent on grower profit?,,,,,,
D21Dx,D21D Is it an end of season bonus?,,,,,,
D21Ex,D21E Money for transportation (appear in D21 variable in cycle 29),,,,,,
D21Fx,D21F Other bonus:,,,,,,
D21Gx,D21G Retention(return or rehire) bonus?,,,,,,
D22,"D22 If you are injured AT WORK or get sick as a result of your work, does your employer provide health insurance or provide or pay for your health care",,,,,,
D23,"D23 If you are injured AT WORK or get sick as a result of your work, do you get any payment while you are recuperating (i.e., workers compensation)?",,,,,,
D24,"D24 If you are injured or get sick OFF THE JOB (e.g. at home), does your employer provide health insurance or provide or pay for your health care",,,,,,
D26,D26 Are you covered by unemployment insurance if you lose this job?,,,,,,
D27,D27 How many years have you worked for this employer?  [ONE DAY/PER YEAR=ONE YEAR],,,,,,
D28x,D28 Do you work for this employer on a seasonal basis or year round?,,,,,,
D29Ax,D29A [IF WORKED ON A SEASONAL BASIS AND LAID OFF WHEN THE SEASON ENDED:] Does this employer keep in contact with you about future employment before leaving at the end of the season?,,,,,,
D29Bx,D29B Employer contacts by letter?,,,,,,
D29Cx,D29C Employer contacts by phone?,,,,,,
D29Dx,D29D Employer contacts by someone else?,,,,,,
D29Ex,D29E Employee contacts employer,,,,,,
D29Fx,D29F  Other contact,,,,,,
D30,D30 How did you get /find out about this job the first time? [DO NOT READ CHOICES. MARK ONE RESPONSE.],,,,,,
D33A,"D33A While you are working for the grower/contractor, what type of arrangement do you have for your living quarters? [DO NOT READ CHOICES. MARK ONLY ONE RESPONSE.]",,,,,,
D34Ax,D34A In what type of living quarters do you live now (housing structure at this location)?,,,,,,
D35x,D35 Where are your living quarters located? [READ CHOICES. MARK ONLY ONE RESPONSE.],,,,,,
D36A1,"D36A1 During the past 12 months, where have your children, 12 and under, been while you work in U.S.A. farm work?                 They’ve stayed home alone, at least sometimes",,,,,,
D36A11,"D36A11 During the past 12 months, where have your children, 12 and under, been while you work in U.S.A. farm work?                 With me in the fields",,,,,,
D36A12,"D36A12 During the past 12 months, where have your children, 12 and under, been while you work in U.S.A. farm work?                 Other",,,,,,
D36A13,"D36A13 During the past 12 months, where have your children, 12 and under, been while you work in U.S.A. farm work?               With my spouse, other family",,,,,,
D36A14,"D36A14   During the past 12 months, where have your children, 12 and under, been while you work in U.S.A. farm work?                 With a neighbor/babysitter, With Migrant Head Start, With a daycare center, With Head Start, With Migrant Education",,,,,,
D36TFL12,KIDS WENT TO FIELD FOR PARENTS OF KIDS 5 TO 12 YEARS OLD,,,,,,
D36TFL18,KIDS WENT TO FIELD FOR PARENTS OF KIDS 13-18 YEARS OLD,,,,,,
D36TFL5,KIDS WENT TO FIELD FOR PARENTS OF KIDS LESS THAN 5 YEARS OLD,,,,,,
D37,"D37 At your current job, how do you usually get to work? [READ CHOICES. MARK ONE RESPONSE.]",,,,,,
D37A,D37A How far is your current job from your current residence?,,,,,,
D38,"D38 Do you pay a fee to the grower/contractor ""raiteros"" for rides to work?",,,,,,
D38A,D38A Do you have to use the labor bus? (IS IT OBLIGATORY)?,,,,,,
D38BFMT,HOW MUCH DO YOU PAY PER WEEK FOR RIDES TO WORK ( CODES),,,,,,
D39Ax,"D39A At your current job, who pays for the equipment you use at work? [READ CHOICES MARK ONE RESPONSE.]",,,,,,
D50,"D50 At this location, how do you pay for housing (including housing for your family, if they live with you)?",,,,,,
D50MTCOD,HOW MUCH DO YOU PAY FOR HOUSING PER MONTH (CODES),,,,,,
D51MTCOD,HOW MUCH IS THE RENT FOR THE ENTIRE HOUSE PER MONTH (CODES),,,,,,
D52,D52 How many people total sleep in these rooms?,,,,,,
D54a,D54a How many of the following do you have in your current living quarters (dwwlling) Bedrooms ?,,,,,,
D54b,D54b How many of the following do you have in your current living quarters (dwwlling) Bathrooms ?,,,,,,
D54c,D54c How many of the following do you have in your current living quarters (dwwlling) Kitchens ?,,,,,,
D54f,D54f  How many of the following do you have in your current living quarters (dwwlling) Other Rooms ?,,,,,,
D61,D61 Are you paid by?,,,,,,
D62,D62 Did you get a receipt?,,,,,,
D63x,D63 How much were you given?,,,,,,
E01x,"E1 At any time in the last two years, were you covered by a union contract while doing farm work?",,,,,,
E02,E2 How long do you expect to continue doing farm work in the U.S.A.? [READ CHOICES.  MARK ONE RESPONSE.],,,,,,
E04,E4 Could you get a U.S.A. NON-FARM JOB within a month? [READ CHOICES. MARK ONE RESPONSE.],,,,,,
EMPLOYED,EMPLOYED Type of employer at time of interview,,,,,,
FAMCOMP,FAMILY COMPOSITION,,,,,,
FAMPOV,FAMILY INCOME BELOW THE POVERTY LEVEL,,,,,,
FLC,EMPLOYER IS A FARM LABOR CONTRACTOR AT THE TIME OF THE INTERVIEW,,,,,,
FOREIGNB,FOREIGN BORN,,,,,,
FTC,FOLLOW THE CROP,,,,,,
FWFAM,OTHER WORKERS IN HH GRID,,,,,,
FWID,Farmworker ID,,,,,,
FWPARENT,FARMWORKER IS A PARENT,,,,,,
FWRDAYS,ACTUAL FARM WORK DAYS,,,,,,
FWWEEKS,FARMWORK WEEKS IN LAST YEAR,,,,,,
FY,FY Fiscal Year,,,,,,
G01,G1 What was your TOTAL INCOME last year in U.S.A. dollars (U.S.A. earners only)? [READ CHOICES. MARK ONE RESPONSE],,,,,,
G02,G2 How much of that income was from AGRICULTURAL EMPLOYMENT (U.S.A. earners only)? [ READ CHOICES.  MARK ONE RESPONSE.],,,,,,
G03,G3 What was your FAMILY'S TOTAL INCOME last year in U.S.A. dollars (U.S.A. earners only)? [READ CHOICES. MARK ONE RESPONSE],,,,,,
G04B,G4B Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Food Stamps,,,,,,
G04C,G4C Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Disability Insurance,,,,,,
G04D,G4D Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Unemployment Insurance,,,,,,
G04E,G4E Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Social Security,,,,,,
G04Fx,G4F Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Veteran's Pay,,,,,,
G04Gx,G4G Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? General assistance/welfare,,,,,,
G04H,G4H Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Low income housing,,,,,,
G04I,G4I  Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Public Health Clinic,,,,,,
G04J,G4J Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Medicaid,,,,,,
G04K,G4K Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? WIC,,,,,,
G04L,G4L Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Disaster Relief,,,,,,
G04M,G4M Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Legal Services,,,,,,
G04N,G4N Within the last two years has anyone in your household received benefits from or used the services of any of the following social programs? Other:,,,,,,
G04Px,"G4P Within the last two years has anyone in your household, received benefits from or used the services of any of the following social programs? (TANF) Temporary assistance for needy families",,,,,,
G06A,G6A Do you own or are you buying  the following item in the United States?  A plot of land,,,,,,
G06Bx,G6B Do you own or are you buying  the following item in the United States?   A house,,,,,,
G06Cx,G6C Do you own or are you buying  the following item in the United States?    A mobile home,,,,,,
G06D,G6D Do you own or are you buying  the following item in the United States?   A car/truck,,,,,,
G06Ex,G6E Do you own or are you buying  the following item in the United States?   A business,,,,,,
G06Fx,G6F Do you own or are you buying  the following item in the United States?   Other,,,,,,
G07Ax,G7A Do you own or are you buying the following item in your home country?  A plot of land,,,,,,
G07Bx,G7B Do you own or are you buying the following item in your home country?   A house,,,,,,
G07Cx,G7C Do you own or are you buying the following item in your home country?   A mobile home,,,,,,
G07Dx,G7D Do you own or are you buying the following item in your home country?   A car/truck,,,,,,
G07Ex,G7E Do you own or are you buying the following item in your home country?   A business,,,,,,
G07Fx,G7F Do you own or are you buying the following item in your home country?   Other,,,,,,
GENDER,GENDER,,,,,,
HHFAMGRD,NUMBER OF ALL RELATIVES ON THE HOUSEHOLD GRID,,,,,,
HHGRDKID,NUMBER OF GRANDCHILDREN IN HOUSEHOLD,,,,,,
HHKID,NUMBER OF CHILDREN IN HOUSEHOLD,,,,,,
HHOTHFAM,NUMBER OF OTHER RELATIVES IN HOUSEHOLD,,,,,,
HHPARENT,NUMBER OF PARENTS IN HOUSEHOLD,,,,,,
HHSIB,NUMBER OF SIBLINGS IN HOUSEHOLD,,,,,,
HHSPOUSE,SPOUSE IN HOUSEHOLD,,,,,,
HHYTH018,ALL YOUTH LESS THAN 18 YEARS OLD  IN HOUSEHOLD,,,,,,
HK013FW,NUMBER OF HOUSEHOLD Kids 0-13 years old doing farmwork,,,,,,
HK013NF,NUMBER OF HOUSEHOLD Kids 0-13 years old doing non-farmwork,,,,,,
HK1417FW,NUMBER OF HOUSEHOLD Kids 14-17 years old doing farmwork,,,,,,
HK1417NF,NUMBER OF HOUSEHOLD Kids 14-17 years old doing non-farmwork,,,,,,
HKFW,NUMBER OF HOUSEHOLD KIDS LESS THAN 18 YEARS OLD DOING FARMWORK,,,,,,
HKID0613,NUMBER OF KIDS IN HOUSEHOLD AGES 6-13,,,,,,
HKID1417,NUMBER OF KIDS IN HOUSEHOLD AGES 14-17,,,,,,
HKID1517,NUMBER OF KIDS IN HOUSEHOLD  OLDER THAN 15 YEARS OLD,,,,,,
HKIDLT15,NUMBER OF KIDS IN HOUSEHOLD LESS THAN 15 YEARS OLD,,,,,,
HKIDLT18,NUMBER OF KIDS LESS THAN 18 IN HOUSEHOLD,,,,,,
HKIDLT6,NUMBER OF KIDS IN HOUSEHOLD LESS THAN 6 YEARS OLD,,,,,,
HKNF,NUMBER OF HOUSEHOLD KIDS LESS THAN 18 YEARS OLD DOING NON-FARM WORK,,,,,,
HS01cdCRDV,HOW HAVE YOU ARRANGED FOR YOU CHILD(-DREN) TO BE TAKEN CARE OF WHILE YOU WORK(FW)?    CHILD(-DREN)'S OLDER SIBLING(S) OR OTHER RELATIVES,,,,,,
HS01efCRDV,HOW HAVE YOU ARRANGED FOR YOU CHILD(-DREN) TO BE TAKEN CARE OF WHILE YOU WORK(FW)?       OUT OF HOME (DAYCARE/CENTER/BABYSITTER) OR  FRIENDS/NEIGHBORS,,,,,,
HS02cdCRDV,HOW HAVE YOU ARRANGED FOR YOU CHILD(-DREN) TO BE TAKEN CARE OF WHILE YOU WORK(FW)?    CHILD(-DREN)'S OLDER SIBLING(S) OR OTHER RELATIVES,,,,,,
HS02efCRDV,HOW HAVE YOU ARRANGED FOR YOU CHILD(-DREN) TO BE TAKEN CARE OF WHILE YOU WORK(FW)?       OUT OF HOME (DAYCARE/CENTER/BABYSITTER) OR  FRIENDS/NEIGHBORS,,,,,,
HS05_CRDV,HAS/HAVE YOUR CHILD(-DREN) EVER USED MSHS? (WHEN?),,,,,,
HS06ahCRDV,WHY ARE NOT YOU (OR YOUR SPOUSE) USING MSHS AT THIS LOCATION?    PREFER OWN CHILD CARE ARRANGEMENTS OR DO NOT LIKE IT . SPECIFY,,,,,,
HS06cdCRDV,WHY ARE NOT YOU (OR YOUR SPOUSE) USING MSHS AT THIS LOCATION?    MSHS NOT OPEN ENTIRE SEASON(FOR FW) OR INCONVENIENT HOURS,,,,,,
INDIGENOUS,"INDIGENOUS DEFINITION THAT INCLUDE RACE,LANGUAGE AND CHILD LANGUAGE",,,,,,
INTLSHTL,INTERNATIONAL SHUTTLERS,,,,,,
K018USFW,NUMBER OF KIDS LESS THAN 18 YEARS OLD DOING US FARMWORK,,,,,,
K018USNF,NUMBER OF KIDS LESS THAN 18 YEARS OLD DOING US NON-FARM WORK,,,,,,
LEGAPPL,STATUS OF LEGAL APPLICATION,,,,,,
MARRIED,MARRIED,,,,,,
MIGRANT,MIGRANT,,,,,,
MIGTYPE,TYPE OF MIGRANT,,,,,,
MIGTYPE2,MIGTYPE INCLUDING NEWCOMER,,,,,,
MIXEDFAM,"MIXED STATUS FAMILY: FW IS UNAUTHORIZED BUT HAS U.S. CITIZEN kIDS, LIVING ANYWHERE",,,,,,
NFWAGE,"WAGE, NON-AGRICULTURAL WORK",,,,,,
NFWEEKS,NUMBER OF NON-FARM WORK WEEKS IN LAST YEAR,,,,,,
NH01,NH1 Have you ever in your whole life been told by a doctor or nurse that you have the following conditions: ASTHMA?,,,,,,
NH02,NH2 Have you ever in your whole life been told by a doctor or nurse that you have the following conditions: DIABETES?,,,,,,
NH03,NH3 Have you ever in your whole life been told by a doctor or nurse that you have the following conditions: HIGH BLOOD PRESSURE?,,,,,,
NH04,NH4 Have you ever in your whole life been told by a doctor or nurse that you have the following conditions: TUBERCULOSIS?,,,,,,
NH05,NH5 Have you ever in your whole life been told by a doctor or nurse that you have the following conditions: HEART DISEASE?,,,,,,
NH06,NH6 Have you ever in your whole life been told by a doctor or nurse that you have the following conditions: URINARY TRACT INFECTIONS?,,,,,,
NH10,NH10 Have you ever in your whole life been told by a doctor or nurse that you have the following conditions: OTHER?,,,,,,
NHACONDITION,NHACONDITION Dummy for the farmworkers that declared at least one health condition in the Health History grid,,,,,,
NHACOUNT,NHACOUNT Number of entries in the Health History grid,,,,,,
NHH,NUMBER OF PERSONS IN HH AT THE TIME OF INTERVIEW,,,,,,
NK0305AB,NUMBER OF NON-RESIDENT CHILDREN AGES 3-5 RESIDING IN A FOREIGN COUNTRY,,,,,,
NKLT03AB,NUMBER OF NON-RESIDENT CHILDREN LESS THAN  3 YEARS OLD RESIDING IN A FOREIGN COUNTRY,,,,,,
NKLT06AB,NUMBER OF NON-RESIDENT CHILDREN LESS THAN  6 YEARS OLD RESIDING IN A FOREIGN COUNTRY,,,,,,
NK1417AB,NUMBER OF NON-RESIDENT KIDS AGE 14-17 RESIDING IN A FOREIGN COUNTRY,,,,,,
NK1417PR,NUMBER OF NON-RESIDENT KIDS AGE 14-17 RESIDING IN  PUERTO RICO.,,,,,,
NK1417ST,NUMBER OF NON-RESIDENT KIDS 14-17 RESIDING IN ONE OF THE 50 US STATES,,,,,,
NKIDLT18,NUMBER OF NON RESIDENT KIDS LESS THAN 18,,,,,,
NKIDLT03,TOTAL NUMBER OF NON-RESIDENT CHILDREN LESS THAN  3 YEARS OLD RESIDING IN A FOREIGN COUNTRY,,,,,,
